,name ,serving_size,calories,total_fat,saturated_fat,cholesterol,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_e,tocopherol_alpha,vitamin_k,carbohydrate,fiber,sugars,fat
556,"Cheese, colby",100 g,394,32g,20g,95,994,264,0.83,0.079,0,0.28,0.28,2.7,2.57 g,0.0 g,0.52 g,32.11 g
557,"Cheese, cream",100 g,350,34g,20g,101,1111,308,0.22,0.056,0,0.86,0.86,2.1,5.52 g,0.0 g,3.76 g,34.44 g
558,"Bologna, pork",100 g,247,20g,6.8g,59,0,0,0.93,0.27,0,0.26,0.26,0.3,0.73 g,0.0 g,0.00 g,19.87 g
559,"Celeriac, raw",100 g,42,0.3g,0.1g,0,0,0,0,0.165,8,0.36,0.36,41,9.20 g,1.8 g,1.60 g,0.30 g
560,"Kumquats, raw",100 g,71,0.9g,0.1g,0,290,15,0,0.036,43.9,0.15,0.15,0,15.90 g,6.5 g,9.36 g,0.86 g
561,"Oat bran, raw",100 g,246,7g,1.3g,0,0,0,0,0.165,0,1.01,1.01,3.2,66.22 g,15.4 g,1.45 g,7.03 g
562,"Spelt, cooked",100 g,127,0.9g,,0,4,0,0,0.08,0,0.26,0.26,0,26.44 g,3.9 g,0,0.85 g
563,"Bread, cheese",100 g,408,21g,6.3g,10,93,24,0.24,0.048,0,1.49,1.49,32.4,44.83 g,2.1 g,2.08 g,20.83 g
564,"Bread, potato",100 g,266,3.1g,,0,89,24,0.15,0.232,0,0.47,0.47,6.8,47.07 g,6.3 g,9.38 g,3.13 g
565,"Kohlrabi, raw",100 g,27,0.1g,,0,36,2,0,0.15,62,0.48,0.48,0.1,6.20 g,3.6 g,2.60 g,0.10 g
566,"Cheese, swiss",100 g,393,31g,18g,93,1047,288,3.06,0.071,0,0.6,0.6,1.4,1.44 g,0.0 g,0.00 g,30.99 g
567,"Cheese, gouda",100 g,356,27g,18g,114,563,165,1.54,0.08,0,0.24,0.24,2.3,2.22 g,0.0 g,2.22 g,27.44 g
568,Tomato powder,100 g,302,0.4g,0.1g,0,17247,862,0,0.457,116.7,12.25,12.25,48.8,74.68 g,16.5 g,43.90 g,0.44 g
569,"Cheese, blue",100 g,353,29g,19g,75,721,198,1.22,0.166,0,0.25,0.25,2.4,2.34 g,0.0 g,0.50 g,28.74 g
570,"Cheese, brie",100 g,334,28g,17g,100,592,174,1.65,0.235,0,0.24,0.24,2.3,0.45 g,0.0 g,0.45 g,27.68 g
571,"Celtuce, raw",100 g,18,0.3g,,0,3500,175,0,0.05,19.5,0,0,0,3.65 g,1.7 g,0,0.30 g
572,"Thyme, fresh",100 g,101,1.7g,0.5g,0,4751,238,0,0.348,160.1,0,0,0,24.45 g,14.0 g,0,1.68 g
573,"Basil, fresh",100 g,23,0.6g,,0,5275,264,0,0.155,18,0.8,0.8,414.8,2.65 g,1.6 g,0.30 g,0.64 g
574,"Rhubarb, raw",100 g,21,0.2g,0.1g,0,102,5,0,0.024,8,0.27,0.27,29.3,4.54 g,1.8 g,1.10 g,0.20 g
575,"Nopales, raw",100 g,16,0.1g,,0,457,23,0,0.07,9.3,0,0,5.3,3.33 g,2.2 g,1.15 g,0.09 g
576,"Syrups, malt",100 g,318,0g,,0,0,0,0,0.5,0,0,0,0,71.30 g,0.0 g,71.30 g,0.00 g
577,"Oil, teaseed",100 g,884,100g,21g,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0.00 g,100.00 g
578,"Oil, sheanut",100 g,884,100g,47g,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0.00 g,100.00 g
579,"Oil, babassu",100 g,884,100g,81g,0,0,0,0,0,0,19.1,19.1,0,0.00 g,0.0 g,0.00 g,100.00 g
580,"Longans, raw",100 g,60,0.1g,,0,0,0,0,0,84,0,0,0,15.14 g,1.1 g,0,0.10 g
581,"Loquats, raw",100 g,47,0.2g,,0,1528,76,0,0.1,1,0,0,0,12.14 g,1.7 g,0,0.20 g
582,"Epazote, raw",100 g,32,0.5g,,0,57,3,0,0.152,3.6,0,0,0,7.44 g,3.8 g,0,0.52 g
583,"Pumpkin, raw",100 g,26,0.1g,0.1g,0,8513,426,0,0.061,9,1.06,1.06,1.1,6.50 g,0.5 g,2.76 g,0.10 g
584,"Carrots, raw",100 g,41,0.2g,,0,16706,835,0,0.138,5.9,0.66,0.66,13.2,9.58 g,2.8 g,4.74 g,0.24 g
585,"Fish, surimi",100 g,99,0.9g,0.2g,30,67,20,1.6,0.03,0,0.63,0.63,0.1,6.85 g,0.0 g,0.00 g,0.90 g
586,"Cabbage, raw",100 g,25,0.1g,,0,98,5,0,0.124,36.6,0.15,0.15,76,5.80 g,2.5 g,3.20 g,0.10 g
587,"Cardoon, raw",100 g,17,0.1g,,0,0,0,0,0.116,2,0,0,0,4.07 g,1.6 g,0,0.10 g
588,"Abiyuch, raw",100 g,69,0.1g,,0,100,5,0,0,54.1,0,0,0,17.60 g,5.3 g,8.55 g,0.10 g
589,"Bread, wheat",100 g,267,3.2g,0.8g,0,2,0,0,0.111,0.2,0.19,0.19,4.9,48.68 g,4.0 g,5.91 g,3.24 g
590,"Cheese, edam",100 g,357,28g,18g,89,825,243,1.54,0.076,0,0.24,0.24,2.3,1.43 g,0.0 g,1.43 g,27.80 g
591,"Cheese, feta",100 g,264,21g,15g,89,422,125,1.69,0.424,0,0.18,0.18,1.8,4.09 g,0.0 g,4.09 g,21.28 g
592,"Pummelo, raw",100 g,38,0g,,0,8,0,0,0.036,61,0,0,0,9.62 g,1.0 g,0,0.04 g
593,"Quinces, raw",100 g,57,0.1g,,0,40,2,0,0.04,15,0,0,0,15.30 g,1.9 g,0,0.10 g
594,Cracker meal,100 g,383,1.7g,0.3g,0,0,0,0,0.039,0,0.43,0.43,0.3,80.90 g,2.6 g,0.33 g,1.70 g
595,"Roselle, raw",100 g,49,0.6g,,0,287,14,0,0,12,0,0,0,11.31 g,0,0,0.64 g
596,"Soursop, raw",100 g,66,0.3g,0.1g,0,2,0,0,0.059,20.6,0.08,0.08,0.4,16.84 g,3.3 g,13.54 g,0.30 g
597,"Oil, coconut",100 g,892,99g,82g,0,0,0,0,0,0,0.11,0.11,0.6,0.00 g,0.0 g,0.00 g,99.06 g
598,"Wheat, durum",100 g,339,2.5g,0.5g,0,0,0,0,0.419,0,0,0,0,71.13 g,0,0,2.47 g
599,"KFC, biscuit",100 g,358,17g,12g,1,0,0,0,0.063,0,0.26,0.26,0,43.55 g,2.0 g,4.04 g,17.05 g
600,Millet flour,100 g,382,4.3g,0.5g,0,0,0,0,0.372,0,0.11,0.11,0.8,75.12 g,3.5 g,1.66 g,4.25 g
601,"Arugula, raw",100 g,25,0.7g,0.1g,0,2373,119,0,0.073,15,0.43,0.43,108.6,3.65 g,1.6 g,2.05 g,0.66 g
602,Potato flour,100 g,357,0.3g,0.1g,0,0,0,0,0.769,3.8,0.25,0.25,0,83.10 g,5.9 g,3.52 g,0.34 g
603,"Litchis, raw",100 g,66,0.4g,0.1g,0,0,0,0,0.1,71.5,0.07,0.07,0.4,16.53 g,1.3 g,15.23 g,0.44 g
604,"Teff, cooked",100 g,101,0.7g,,0,2,0,0,0.097,0,0,0,0,19.86 g,2.8 g,0,0.65 g
605,"Spinach, raw",100 g,23,0.4g,0.1g,0,9377,469,0,0.195,28.1,2.03,2.03,482.9,3.63 g,2.2 g,0.42 g,0.39 g
606,"Oil, mustard",100 g,884,100g,12g,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,100.00 g
607,"Oil, avocado",100 g,884,100g,12g,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,100.00 g
608,Phyllo dough,100 g,299,6g,1.5g,0,0,0,0,0.03,0,0.08,0.08,2.5,52.60 g,1.9 g,0.18 g,6.00 g
609,"Lentils, raw",100 g,352,1.1g,0.2g,0,39,2,0,0.54,4.5,0.49,0.49,5,63.35 g,10.7 g,2.03 g,1.06 g
610,"Fat, chicken",100 g,900,100g,30g,85,0,0,0,0,0,2.7,2.7,0,0.00 g,0.0 g,0.00 g,99.80 g
611,"Cassava, raw",100 g,160,0.3g,0.1g,0,13,1,0,0.088,20.6,0.19,0.19,1.9,38.06 g,1.8 g,1.70 g,0.28 g
612,"Turnips, raw",100 g,28,0.1g,,0,0,0,0,0.09,21,0.03,0.03,0.1,6.43 g,1.8 g,3.80 g,0.10 g
613,"Bananas, raw",100 g,89,0.3g,0.1g,0,64,3,0,0.367,8.7,0.1,0.1,0.5,22.84 g,2.6 g,12.23 g,0.33 g
614,"Papayas, raw",100 g,43,0.3g,0.1g,0,950,47,0,0.038,60.9,0.3,0.3,2.6,10.82 g,1.7 g,7.82 g,0.26 g
615,Fruit syrup,100 g,341,0g,,0,2,0,0,0.001,1.6,0.01,0.01,0.1,85.13 g,0.1 g,53.00 g,0.00 g
616,"Chives, raw",100 g,30,0.7g,0.1g,0,4353,218,0,0.138,58.1,0.21,0.21,212.7,4.35 g,2.5 g,1.85 g,0.73 g
617,Carob flour,100 g,222,0.7g,0.1g,0,14,1,0,0.366,0.2,0.63,0.63,0,88.88 g,39.8 g,49.08 g,0.65 g
618,Prune puree,100 g,257,0.2g,,0,2000,100,0,0,4.3,0,0,0,65.10 g,3.3 g,39.00 g,0.20 g
619,"Salt, table",100 g,0,0g,,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0.00 g,0.00 g
620,Chewing gum,100 g,360,0.3g,,0,0,0,0,0,0,0,0,0,96.70 g,2.4 g,66.08 g,0.30 g
621,"Fat, turkey",100 g,900,100g,29g,102,0,0,0,0,0,2.9,2.9,0,0.00 g,0.0 g,0.00 g,99.80 g
622,"Tofu, fried",100 g,270,20g,2.9g,0,27,1,0,0.099,0,0.04,0.04,7.8,8.86 g,3.9 g,2.72 g,20.18 g
623,"Borage, raw",100 g,21,0.7g,0.2g,0,4200,210,0,0.084,35,0,0,0,3.06 g,0,0,0.70 g
624,"Mangos, raw",100 g,60,0.4g,0.1g,0,1082,54,0,0.119,36.4,0.9,0.9,4.2,14.98 g,1.6 g,13.66 g,0.38 g
625,"Garlic, raw",100 g,149,0.5g,0.1g,0,9,0,0,1.235,31.2,0.08,0.08,1.7,33.06 g,2.1 g,1.00 g,0.50 g
626,"Endive, raw",100 g,17,0.2g,,0,2167,108,0,0.02,6.5,0.44,0.44,231,3.35 g,3.1 g,0.25 g,0.20 g
627,Tofu yogurt,100 g,94,1.8g,0.3g,0,33,2,0,0.02,2.5,0.31,0.31,3.5,15.96 g,0.2 g,1.24 g,1.80 g
628,"Celery, raw",100 g,16,0.2g,,0,449,22,0,0.074,3.1,0.27,0.27,29.3,2.97 g,1.6 g,1.34 g,0.17 g
629,"Bagels, egg",100 g,278,2.1g,0.4g,24,109,33,0.16,0.087,0.6,0,0,0,53.00 g,2.3 g,0,2.10 g
630,"Bulgur, dry",100 g,342,1.3g,0.2g,0,9,0,0,0.342,0,0.06,0.06,1.9,75.87 g,12.5 g,0.41 g,1.33 g
631,"Feijoa, raw",100 g,61,0.4g,0.1g,0,6,0,0,0.067,32.9,0.16,0.16,3.5,15.21 g,6.4 g,8.20 g,0.42 g
632,"Millet, raw",100 g,378,4.2g,0.7g,0,0,0,0,0.384,0,0.05,0.05,0.9,72.85 g,8.5 g,0,4.22 g
633,"Ham, minced",100 g,263,21g,7.2g,70,0,0,0.95,0.26,0,0.27,0.27,0,1.84 g,0.0 g,0.00 g,20.68 g
634,"Oil, almond",100 g,884,100g,8.2g,0,0,0,0,0,0,39.2,39.2,7,0.00 g,0.0 g,0.00 g,100.00 g
635,"Oil, walnut",100 g,884,100g,9.1g,0,0,0,0,0,0,0.4,0.4,15,0.00 g,0.0 g,0.00 g,100.00 g
636,"Jujube, raw",100 g,79,0.2g,,0,40,2,0,0.081,69,0,0,0,20.23 g,0,0,0.20 g
637,"Oil, canola",100 g,884,100g,7.4g,0,0,0,0,0,0,17.46,17.46,71.3,0.00 g,0.0 g,0.00 g,100.00 g
638,"Syrup, Cane",100 g,269,0g,,0,0,0,0,0,0,0,0,0,73.14 g,0.0 g,73.20 g,0.00 g
639,"Onions, raw",100 g,40,0.1g,,0,2,0,0,0.12,7.4,0.02,0.02,0.4,9.34 g,1.7 g,4.24 g,0.10 g
640,Clif Z bar,100 g,409,9.7g,2.7g,0,7,0,0,0.073,39.1,0.98,0.98,8.7,74.72 g,8.3 g,30.56 g,9.72 g
641,Fish broth,100 g,16,0.6g,0.1g,0,4,1,0.1,0.01,0,0.15,0.15,0.2,0.40 g,0.0 g,0.09 g,0.60 g
642,"Fat, goose",100 g,900,100g,28g,100,0,0,0,0,0,2.7,2.7,0,0.00 g,0.0 g,0,99.80 g
643,"Bread, rye",100 g,259,3.3g,0.6g,0,7,0,0,0.075,0.4,0.33,0.33,1.2,48.30 g,5.8 g,3.85 g,3.30 g
644,"Eppaw, raw",100 g,150,1.8g,,0,0,0,0,0.176,13,0,0,0,31.68 g,0,0,1.80 g
645,"Limes, raw",100 g,30,0.2g,,0,50,2,0,0.043,29.1,0.22,0.22,0.6,10.54 g,2.8 g,1.69 g,0.20 g
646,"Pie, peach",100 g,224,10g,1.5g,0,140,10,0,0.023,0.9,0.94,0.94,3.3,32.90 g,0.8 g,16.23 g,10.00 g
647,"Pears, raw",100 g,57,0.1g,,0,25,1,0,0.029,4.3,0.12,0.12,4.4,15.23 g,3.1 g,9.75 g,0.14 g
648,"Plums, raw",100 g,46,0.3g,,0,345,17,0,0.029,9.5,0.26,0.26,6.4,11.42 g,1.4 g,9.92 g,0.28 g
649,"Rowal, raw",100 g,111,2g,0.2g,0,383,19,0,0,25.8,0,0,0,23.90 g,6.2 g,14.10 g,2.00 g
650,"Beets, raw",100 g,43,0.2g,,0,33,2,0,0.067,4.9,0.04,0.04,0.2,9.56 g,2.8 g,6.76 g,0.17 g
651,"Bread, egg",100 g,287,6g,1.6g,51,211,63,0.1,0.064,0,0.26,0.26,0.9,47.80 g,2.3 g,1.78 g,6.00 g
652,Buckwheat,100 g,343,3.4g,0.7g,0,0,0,0,0.21,0,0,0,0,71.50 g,10.0 g,0,3.40 g
653,"Oil, palm",100 g,884,100g,49g,0,0,0,0,0,0,15.94,15.94,8,0.00 g,0.0 g,0.00 g,100.00 g
654,"Fat, duck",100 g,882,100g,33g,100,0,0,0,0,0,2.7,2.7,0,0.00 g,0.0 g,0.00 g,99.80 g
655,Triticale,100 g,336,2.1g,0.4g,0,0,0,0,0.138,0,0.9,0.9,0,72.13 g,0,0,2.09 g
656,Rye grain,100 g,338,1.6g,0.2g,0,11,1,0,0.294,0,0.85,0.85,5.9,75.86 g,15.1 g,0.98 g,1.63 g
657,"Dock, raw",100 g,22,0.7g,,0,4000,200,0,0.122,48,0,0,0,3.20 g,2.9 g,0,0.70 g
658,"Kale, raw",100 g,49,0.9g,0.1g,0,9990,500,0,0.271,120,1.54,1.54,704.8,8.75 g,3.6 g,2.26 g,0.93 g
659,"Okra, raw",100 g,33,0.2g,,0,716,36,0,0.215,23,0.27,0.27,31.3,7.45 g,3.2 g,1.48 g,0.19 g
660,"Taro, raw",100 g,112,0.2g,,0,76,4,0,0.283,4.5,2.38,2.38,1,26.46 g,4.1 g,0.40 g,0.20 g
661,"Figs, raw",100 g,74,0.3g,0.1g,0,142,7,0,0.113,2,0.11,0.11,4.7,19.18 g,2.9 g,16.26 g,0.30 g
662,"Goat, raw",100 g,109,2.3g,0.7g,57,0,0,1.13,0,0,0,0,0,0.00 g,0.0 g,0,2.31 g
663,Molasses,100 g,290,0.1g,,0,0,0,0,0.67,0,0,0,0,74.73 g,0.0 g,74.72 g,0.10 g
664,Zwieback,100 g,426,9.7g,2.5g,8,58,16,0,0.082,5.3,2.44,2.44,0.9,74.20 g,2.5 g,12.50 g,9.70 g
665,"Yam, raw",100 g,118,0.2g,,0,138,7,0,0.293,17.1,0.35,0.35,2.3,27.88 g,4.1 g,0.50 g,0.17 g
666,"Oil, oat",100 g,884,100g,20g,0,0,0,0,0,0,14.4,14.4,24.7,0.00 g,0.0 g,0.00 g,100.00 g
667,Jellies,100 g,266,0g,,0,5,0,0,0.02,0.9,0,0,0.3,69.95 g,1.0 g,51.22 g,0.02 g
668,Eggnog,100 g,88,4.2g,2.6g,59,206,59,0.45,0.05,1.5,0.21,0.21,0.3,8.05 g,0.0 g,8.05 g,4.19 g
669,Catsup,100 g,101,0.1g,,0,527,26,0,0.158,4.1,1.46,1.46,3,27.40 g,0.3 g,21.27 g,0.10 g
670,Tempeh,100 g,192,11g,2.5g,0,0,0,0.08,0.215,0,0,0,0,7.64 g,0,0,10.80 g
671,Wasabi,100 g,292,11g,2g,0,1,0,0,0.05,0,3.44,3.44,3.1,46.13 g,6.1 g,13.20 g,10.90 g
672,Honey,100 g,304,0g,,0,0,0,0,0.024,0.5,0,0,0,82.40 g,0.2 g,82.12 g,0.00 g
673,Natto,100 g,211,11g,1.6g,0,0,0,0,0.13,13,0.01,0.01,23.1,12.68 g,5.4 g,4.89 g,11.00 g
674,Okara,100 g,76,1.7g,0.2g,0,0,0,0,0.115,0,0,0,0,12.23 g,0,0,1.73 g
675,Papad,100 g,371,3.3g,1.1g,4,50,13,0,0.285,0,0.05,0.05,0.4,59.87 g,18.6 g,0.00 g,3.25 g
676,Lard,100 g,902,100g,39g,95,0,0,0,0,0,0.6,0.6,0,0.00 g,0.0 g,0.00 g,100.00 g
677,Oats,100 g,389,6.9g,1.2g,0,0,0,0,0.119,0,0,0,0,66.27 g,10.6 g,0,6.90 g
678,Miso,100 g,198,6g,1g,0,87,4,0.08,0.199,0,0.01,0.01,29.3,25.37 g,5.4 g,6.20 g,6.01 g
679,Poi,100 g,112,0.1g,,0,66,3,0,0.273,4,2.3,2.3,1,27.23 g,0.4 g,0.39 g,0.14 g
680,"Spices, dried, oregano",100 g,265,4.3g,1.6g,0,1701,85,0,1.044,2.3,18.26,18.26,621.7,68.92 g,42.5 g,4.09 g,4.28 g
681,"Winged bean leaves, raw",100 g,74,1.1g,0.3g,0,8090,405,0,0.232,45,0,0,0,14.10 g,0,0,1.10 g
682,"Corn, raw, white, sweet",100 g,86,1.2g,0.2g,0,1,0,0,0.055,6.8,0.07,0.07,0.3,19.02 g,2.7 g,3.22 g,1.18 g
683,"Wheat flour, whole-grain",100 g,340,2.5g,0.4g,0,9,0,0,0.407,0,0.71,0.71,1.9,71.97 g,10.7 g,0.41 g,2.50 g
684,"CRACKER BARREL, coleslaw",100 g,175,13g,2g,11,777,43,0,0.125,14.2,0.97,0.97,88.1,13.01 g,1.6 g,11.07 g,13.22 g
685,"Fish, raw, king, mackerel",100 g,105,2g,0.4g,53,727,218,15.6,0.442,1.6,0,0,0,0.00 g,0.0 g,0,2.00 g
686,"Cookies, chocolate wafers",100 g,433,14g,4.2g,2,10,3,0.09,0.051,0,0.72,0.72,2.4,72.70 g,3.4 g,37.43 g,14.20 g
687,"Mushrooms, raw, portabella",100 g,22,0.4g,0.1g,0,0,0,0.05,0.148,0,0.02,0.02,0,3.87 g,1.3 g,2.50 g,0.35 g
688,"Fish, raw, striped, mullet",100 g,117,3.8g,1.1g,49,123,37,0.22,0.425,1.2,1,1,0.1,0.00 g,0.0 g,0.00 g,3.79 g
689,"Egg, poached, cooked, whole",100 g,143,9.5g,3.1g,370,538,160,0.71,0.144,0,1.04,1.04,0.3,0.71 g,0.0 g,0.37 g,9.47 g
690,"Noodles, chow mein, chinese",100 g,475,15g,2.2g,0,0,0,0,0.11,0,2.3,2.3,1.4,72.80 g,3.7 g,5.71 g,15.43 g
691,"Oil, cold pressed, flaxseed",100 g,884,100g,9g,0,0,0,0,0,0,0.47,0.47,9.3,0.00 g,0.0 g,0.00 g,99.98 g
692,"Triticale flour, whole-grain",100 g,338,1.8g,0.3g,0,0,0,0,0.403,0,0.9,0.9,0,73.14 g,14.6 g,0,1.81 g
693,"Cheese, queso anejo, mexican",100 g,373,30g,19g,105,220,64,1.38,0.047,0,0.26,0.26,2.5,4.63 g,0.0 g,4.63 g,29.98 g
694,"Smelt, dried (Alaska Native)",100 g,386,18g,3.6g,249,463,139,19.1,0.176,0,4.51,4.51,0,0.00 g,0.0 g,0.00 g,17.90 g
695,"Lamb, broiled, cooked, ground",100 g,283,20g,8.1g,97,0,0,2.61,0.14,0,0.14,0.14,5.3,0.00 g,0.0 g,0.00 g,19.65 g
696,"Tofu, dried-frozen (koyadofu)",100 g,477,30g,4.4g,0,518,26,0,0.286,0.7,0,0,0,10.03 g,7.2 g,0,30.34 g
697,Poultry salad sandwich spread,100 g,200,14g,3.5g,30,140,42,0.38,0.11,1,2.2,2.2,0,7.41 g,0.0 g,0.00 g,13.52 g
698,"Salami, beef and pork, cooked",100 g,336,26g,9.3g,89,0,0,1.52,0.459,0,0.22,0.22,3.2,2.40 g,0.0 g,0.96 g,25.90 g
699,"Rice flour, unenriched, white",100 g,366,1.4g,0.4g,0,0,0,0,0.436,0,0.11,0.11,0,80.13 g,2.4 g,0.12 g,1.42 g
700,"Yogurt, nonfat, fruit variety",100 g,95,0.2g,0.1g,2,12,2,0.47,0.04,0.7,0.06,0.06,1.1,19.00 g,0.0 g,19.00 g,0.20 g
701,"Babyfood, vegetable, crackers",100 g,477,20g,2g,0,3571,179,0,0.12,50.5,8.05,8.05,7.1,66.85 g,4.0 g,13.00 g,19.60 g
702,"Babyfood, fruit, baby, cookie",100 g,435,13g,2.7g,4,2348,117,0.22,0.21,1.5,1.48,1.48,3.2,73.70 g,3.4 g,24.20 g,12.60 g
703,"Chicken, raw, giblets, capons",100 g,130,5.2g,1.6g,292,14566,4374,12.95,0.47,18.4,0,0,0,1.42 g,0.0 g,0,5.18 g
704,"Fish, raw, mixed species, roe",100 g,143,6.4g,1.5g,374,299,90,10,0.16,16,7,7,0.2,1.50 g,0.0 g,0.00 g,6.42 g
705,"Fish, smoked, chinook, salmon",100 g,117,4.3g,0.9g,23,87,26,3.26,0.278,0,1.35,1.35,0.1,0.00 g,0.0 g,0.00 g,4.32 g
706,HOUSE FOODS Prem m Firm Tofu,100 g,85,4.2g,0.7g,0,0,0,0,0,1.1,0,0,0,0.97 g,0.9 g,0.40 g,4.19 g
707,"Crackers, whole grain, cheese",100 g,412,16g,3.2g,16,110,12,0.06,0.203,0,1.08,1.08,3.9,57.29 g,6.4 g,0.00 g,16.03 g
708,"Seeds, high-fat, sesame flour",100 g,526,37g,5.2g,0,69,3,0,0.152,0,0,0,0,26.62 g,0,0,37.10 g
709,"Peppers, canned, green, chili",100 g,21,0.3g,,0,126,6,0,0.12,34.2,0,0,0,4.60 g,1.7 g,0,0.27 g
710,"Egg, raw, fresh, whole, quail",100 g,158,11g,3.6g,844,543,156,1.58,0.15,0,1.08,1.08,0.3,0.41 g,0.0 g,0.40 g,11.09 g
711,"Pumpkin, without salt, canned",100 g,34,0.3g,0.1g,0,15563,778,0,0.056,4.2,1.06,1.06,16,8.09 g,2.9 g,3.30 g,0.28 g
712,"Dove, cooked (includes squab)",100 g,213,13g,3.7g,116,95,28,0.41,0.57,2.9,0.06,0.06,4,0.00 g,0.0 g,0.00 g,13.00 g
713,"Beverages, orange, carbonated",100 g,48,0g,,0,0,0,0,0,0,0,0,0,12.30 g,0.0 g,0,0.00 g
714,"Kefir, LIFEWAY, plain, lowfat",100 g,41,0.9g,0.7g,5,569,171,0.29,0.058,0.2,0.02,0.02,0.1,4.48 g,0.0 g,4.61 g,0.93 g
715,"Candies, ALMOND JOY Candy Bar",100 g,479,27g,18g,4,42,0,0,0,0.7,0,0,0,59.51 g,5.0 g,48.34 g,26.93 g
716,"Cheese substitute, mozzarella",100 g,248,12g,3.7g,0,1457,437,0.81,0.051,0.1,0.11,0.11,1,23.67 g,0.0 g,23.67 g,12.22 g
717,"Crustaceans, raw, queen, crab",100 g,90,1.2g,0.1g,55,150,45,9,0.15,7,0,0,0,0.00 g,0.0 g,0,1.18 g
718,"Wheat, cooked, KAMUT khorasan",100 g,132,0.8g,0.1g,0,4,0,0,0.07,0,0.24,0.24,0,27.60 g,4.3 g,3.07 g,0.83 g
719,"Sauce, ready-to-serve, hoisin",100 g,220,3.4g,0.6g,3,6,0,0,0.062,0.4,0.28,0.28,0.5,44.08 g,2.8 g,27.26 g,3.39 g
720,"Sauce, ready-to-serve, oyster",100 g,51,0.3g,,0,0,0,0.41,0.016,0.1,0,0,0,10.92 g,0.3 g,0.00 g,0.25 g
721,"Noodles, dry, somen, japanese",100 g,356,0.8g,0.1g,0,0,0,0,0.05,0,0,0,0,74.10 g,4.3 g,0,0.81 g
722,"Crackers, reduced fat, cheese",100 g,418,12g,3.3g,0,56,9,0.03,0.044,0,1.88,1.88,3.8,68.19 g,3.3 g,0.00 g,11.67 g
723,"Cookies, reduced fat, oatmeal",100 g,365,10g,4.1g,20,402,92,0.08,0.044,0,1.1,1.1,11.3,64.62 g,16.1 g,32.14 g,10.04 g
724,"Cranberries, sweetened, dried",100 g,308,1.1g,0.1g,0,46,2,0,0.038,0.2,2.1,2.1,7.6,82.80 g,5.3 g,72.56 g,1.09 g
725,"Cheese, queso cotija, mexican",100 g,366,30g,18g,100,865,229,2.26,0.049,0,0.25,0.25,1.9,3.97 g,0.0 g,0.00 g,30.00 g
726,"Rolls, hard (includes kaiser)",100 g,293,4.3g,0.6g,0,0,0,0,0.035,0,0.42,0.42,0.6,52.70 g,2.3 g,1.77 g,4.30 g
727,"Ostrich, cooked, inside strip",100 g,164,4.3g,1.7g,97,0,0,6.44,0.562,0,0.24,0.24,0,0.00 g,0.0 g,0.00 g,4.26 g
728,"SILK Light Chocolate, soymilk",100 g,49,0.6g,,0,206,0,1.23,0,0,0,0,0,9.05 g,0.8 g,7.82 g,0.62 g
729,"Candies, sugar-coated almonds",100 g,474,18g,1.9g,0,3,0,0,0.06,0,12.36,12.36,0,68.26 g,2.5 g,62.50 g,17.93 g
730,"KELLOGG'S, Corn Flakes Crumbs",100 g,367,0.4g,0.1g,0,212,64,0,0.6,0,0,0,0,84.40 g,1.2 g,9.30 g,0.40 g
731,"Cheese, queso seco, dry white",100 g,325,24g,14g,78,800,226,1.7,0.091,0,0.49,0.49,1.5,2.04 g,0,0.55 g,24.35 g
732,"Fish, raw, wild, coho, salmon",100 g,146,5.9g,1.3g,45,135,40,4.17,0.549,1,0.73,0.73,0.1,0.00 g,0.0 g,0.00 g,5.93 g
733,"Beets, drained solids, canned",100 g,31,0.1g,,0,24,1,0,0.057,4.1,0.03,0.03,0.2,7.21 g,1.8 g,5.51 g,0.14 g
734,"Beef, reduced sod m, bologna",100 g,310,28g,12g,56,0,0,1.41,0.18,0,0.19,0.19,0.3,2.00 g,0.0 g,0.00 g,28.40 g
735,"Fast foods, hot fudge, sundae",100 g,180,5.5g,3.2g,13,140,37,0.41,0.08,1.5,0.42,0.42,0,30.17 g,0.0 g,0,5.46 g
736,"KEEBLER, Iced Oatmeal Cookies",100 g,467,18g,5.8g,0,0,0,0,0.01,0,0,0,0,69.50 g,4.1 g,35.60 g,18.30 g
737,"Ice creams, fat free, vanilla",100 g,138,0g,,0,698,200,0.45,0.047,0,0,0,0,30.06 g,1.0 g,6.30 g,0.00 g
738,"Turkey Pot Pie, frozen entree",100 g,176,8.8g,2.9g,16,1767,0,0,0,0,0,0,0,17.70 g,1.1 g,0,8.80 g
739,"Peanut butter, reduced sod m",100 g,590,50g,7.7g,0,0,0,0,0.45,0,9.05,9.05,0.6,21.83 g,6.6 g,9.29 g,49.90 g
740,"Oil, salad or cooking, peanut",100 g,884,100g,17g,0,0,0,0,0,0,15.69,15.69,0.7,0.00 g,0.0 g,0.00 g,100.00 g
741,"Turkey, raw, meat only, whole",100 g,112,1.9g,0.5g,67,30,9,1.24,0.652,0,0.09,0.09,0,0.14 g,0.0 g,0.07 g,1.93 g
